timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure
2.598884,-0.005612,0.046360,1.015528,-0.000098,0.000621,0.000780,-2.161077,-20.400335,41.996929,1016.106201
2.608853,-0.006588,0.047092,1.017968,0.000505,0.001512,-0.000735,-2.358306,-20.320440,41.877029,1016.106201
2.623798,-0.007076,0.046360,1.016016,0.001697,-0.000916,0.000779,-2.516090,-20.256525,41.781109,1016.106201
2.632631,-0.006100,0.045628,1.016016,0.000468,-0.001201,-0.001336,-2.642316,-20.205393,41.704372,1016.106201
2.641448,-0.006344,0.046360,1.016992,-0.001342,0.000020,-0.000713,-2.743298,-20.214888,41.894196,1016.101074
2.651418,-0.006832,0.046604,1.015528,0.000482,0.000621,0.000200,-2.798180,-20.222483,42.046055,1016.101074
2.666351,-0.006344,0.047336,1.016504,-0.000126,0.000010,-0.001606,-2.842086,-20.228559,42.167542,1016.101074
2.675161,-0.007076,0.046360,1.016992,-0.000425,0.000610,0.000524,-2.877211,-20.233421,42.264729,1016.101074
2.683979,-0.006100,0.047092,1.016992,0.000183,0.000299,0.000815,-2.905310,-20.237310,42.342480,1016.096924
2.693988,-0.006100,0.047580,1.016260,-0.001321,-0.000907,0.001402,-2.752945,-20.145222,42.083279,1016.096924
2.708936,-0.006344,0.046116,1.016748,0.000202,-0.000591,-0.000423,-2.631053,-20.071550,41.875919,1016.096924
2.717749,-0.006344,0.045872,1.017968,0.001100,0.002121,0.000485,-2.533540,-20.012613,41.710033,1016.096924
2.726554,-0.008052,0.045872,1.017480,-0.001321,0.000885,-0.001626,-2.455529,-19.965464,41.577324,1016.099609
2.736487,-0.006344,0.046848,1.016260,0.001704,-0.000932,-0.000697,-2.393121,-19.927744,42.416889,1016.099609
2.751427,-0.005856,0.046848,1.017236,-0.003129,-0.000016,-0.000385,-2.446805,-19.914368,42.482677,1016.099609
2.760234,-0.007808,0.047092,1.018212,-0.001575,-0.001217,-0.000679,-2.489753,-19.903667,42.535309,1016.099609
2.769046,-0.006832,0.047336,1.016016,0.001154,-0.000295,0.000533,-2.524111,-19.895107,42.577415,1016.102783
2.779004,-0.006100,0.047824,1.017236,-0.000367,0.000310,0.001425,-2.551598,-19.888258,42.611099,1016.102783
2.793938,-0.006344,0.046116,1.017236,-0.000060,-0.000596,-0.001301,-2.567111,-19.955580,42.671295,1016.102783
2.802738,-0.006832,0.047824,1.016260,-0.001861,-0.000586,-0.000379,-2.579522,-20.009438,42.719452,1016.104248
2.812689,-0.006588,0.047092,1.016992,-0.001830,-0.001477,-0.000072,-2.589451,-20.052523,42.757980,1016.104248
2.830678,-0.007320,0.046360,1.016504,0.001804,0.000050,-0.000371,-2.597394,-20.086990,42.788803,1016.104248
2.845601,-0.006344,0.046604,1.016992,0.001173,-0.002954,-0.000365,-2.454807,-20.080965,43.053585,1016.103760
2.855546,-0.006100,0.046604,1.016260,0.000253,-0.001103,0.001143,-2.340737,-20.076145,43.265411,1016.103760
2.870489,-0.006832,0.047824,1.017236,0.000549,0.000717,-0.000378,-2.249481,-20.072289,43.434872,1016.103760
2.879445,-0.007076,0.048556,1.016992,-0.000361,0.000105,-0.001573,-2.176477,-20.069202,43.570442,1016.103760
2.888304,-0.006588,0.046848,1.016748,-0.001556,0.000403,-0.001847,-2.946965,-20.128334,43.645649,1016.106445
2.898269,-0.006344,0.047092,1.016016,-0.000629,0.001898,-0.002416,-2.838076,-20.175640,43.705814,1016.106445
2.913194,-0.006100,0.046604,1.016016,0.000282,-0.001437,-0.000874,-2.750964,-20.213486,43.753948,1016.106445
2.922015,-0.005856,0.046360,1.016260,0.002079,-0.000812,0.000642,-2.681274,-20.243761,43.792454,1016.106445
2.930851,-0.006344,0.046604,1.017236,0.001744,0.001003,-0.003573,-2.625523,-20.267982,43.823257,1016.105713
2.940816,-0.006344,0.047336,1.016260,0.001114,0.000986,-0.000510,-2.826999,-20.248158,43.958729,1016.105713
2.955758,-0.005368,0.046848,1.017480,-0.001007,0.001270,0.000400,-2.988179,-20.232298,44.067108,1016.105713
2.964582,-0.006832,0.047336,1.017236,-0.000089,0.000047,-0.000208,-3.117124,-20.219610,44.153809,1016.105713
2.973397,-0.006344,0.044408,1.015040,0.000513,-0.000254,0.001297,-3.220280,-20.209461,44.223171,1016.108643
2.983384,-0.007564,0.046116,1.014796,0.000805,0.000051,-0.000526,-3.302804,-20.201342,44.127197,1016.108643
2.998326,-0.006832,0.046116,1.015528,-0.000110,-0.000250,0.001585,-3.323494,-20.290047,44.050415,1016.108643
