time,lat,lon,alt,vn,ve,vd,roll,pitch,yaw
84846.646000000,0.785381545,0.000005906,-34.574151572,-62.918021355,14.628948579,31.245173494,3.032705826,2.875850816,0.359340990
84846.660000000,0.785381409,0.000005937,-35.010434093,-62.911326333,14.557988777,31.247947436,3.027592749,2.880398030,0.378058501
84846.673000000,0.785381290,0.000005963,-35.399205698,-62.879525327,14.488195336,31.245038950,3.022689185,2.886621695,0.396103901
84846.685000000,0.785381189,0.000005985,-35.738160027,-62.825068367,14.420261297,31.236739953,3.018125557,2.894238339,0.413446131
84846.697000000,0.785381091,0.000006007,-36.071093808,-62.753367994,14.352371975,31.224552885,3.013794642,2.903071743,0.430289197
84846.712000000,0.785380962,0.000006040,-36.511436608,-62.663497550,14.278476183,31.209163452,3.009535156,2.913709660,0.446919931
84846.724000000,0.785380874,0.000006062,-36.831657549,-62.547084178,14.211582650,31.187114990,3.005792986,2.925583375,0.462595031
84846.738000000,0.785380766,0.000006092,-37.220971167,-62.411925802,14.141651856,31.161474935,3.002330431,2.939000622,0.477938293
84846.755000000,0.785380628,0.000006134,-37.714279846,-62.252224827,14.066799739,31.131449372,2.999120103,2.954432688,0.492992759
84846.772000000,0.785380508,0.000006173,-38.163662330,-62.061774787,13.996524979,31.094145060,2.996470706,2.971573852,0.507337779
84846.789000000,0.785380393,0.000006213,-38.605347254,-61.841659893,13.929506895,31.050901737,2.994372849,2.990504423,0.521011038
84846.801000000,0.785380320,0.000006242,-38.921751071,-61.595866977,13.872776316,31.000872456,2.992952505,3.010465776,0.533695340
84846.813000000,0.785380262,0.000006268,-39.196161733,-61.331261796,13.821876668,30.946809007,2.992070610,3.031299756,0.545704904
84846.825000000,0.785380206,0.000006295,-39.472228635,-61.048440736,13.774032117,30.889248474,2.991620861,3.053044518,0.557344536
84846.840000000,0.785380123,0.000006335,-39.844499934,-60.743123381,13.725553879,30.828494359,2.991638451,3.076137653,0.568696927
84846.857000000,0.785380032,0.000006380,-40.251458865,-60.411976806,13.681260898,30.763471363,2.992182636,3.100529892,0.579541993
84846.870000000,0.785379978,0.000006417,-40.545536353,-60.059664145,13.649991437,30.693000187,2.993408236,3.125724194,0.589335247
84846.882000000,0.785379942,0.000006451,-40.790512022,-59.691322705,13.627879354,30.619443840,2.995211054,-3.131703636,0.598308116
84846.893000000,0.785379910,0.000006486,-41.026789987,-59.307804805,13.612607021,30.543650510,2.997476644,-3.105376249,0.606538473
84846.907000000,0.785379860,0.000006532,-41.332836134,-58.899981040,13.601857128,30.465262163,3.000171250,-3.077984881,0.614262043
84846.920000000,0.785379823,0.000006577,-41.604819476,-58.474289273,13.601723269,30.383940665,3.003351757,-3.049963664,0.621026375
84846.932000000,0.785379804,0.000006621,-41.825296891,-58.036016956,13.612876594,30.300380844,3.007012374,-3.021559684,0.626760567
84846.944000000,0.785379789,0.000006666,-42.038335311,-57.581999480,13.633452729,30.214834729,3.011000984,-2.992595055,0.631559479
84846.959000000,0.785379745,0.000006727,-42.358799326,-57.100231578,13.659774067,30.129085625,3.015285914,-2.962715555,0.634664188
84846.976000000,0.785379695,0.000006796,-42.710128874,-56.590874228,13.698062974,30.041841209,3.019978948,-2.931917902,0.637975254
84846.988000000,0.785379694,0.000006853,-42.906382123,-56.079185923,13.754950691,29.950978749,3.025058174,-2.900948056,0.639638159
84847.000000000,0.785379687,0.000006916,-43.129121081,-55.550908208,13.821440154,29.860441284,3.030277934,-2.869573607,0.640411153
84847.012000000,0.785379693,0.000006980,-43.313516869,-55.014448586,13.899804826,29.769492729,3.035674915,-2.838009246,0.640170696
84847.026000000,0.785379681,0.000007055,-43.568834412,-54.454082240,13.986745467,29.680873661,3.041217305,-2.805883651,0.639455268
84847.039000000,0.785379685,0.000007130,-43.781139804,-53.884254827,14.086670628,29.591737765,3.046991932,-2.773432142,0.637916498
84847.053000000,0.785379681,0.000007213,-44.026585367,-53.293323939,14.197207977,29.504730716,3.052967289,-2.740476844,0.635916622
84847.070000000,0.785379665,0.000007308,-44.334734500,-52.667341169,14.320837099,29.420364597,3.059245531,-2.706479015,0.633614522
84847.082000000,0.785379683,0.000007396,-44.526176601,-52.044681434,14.460432589,29.333398883,3.065922902,-2.672282342,0.630484971
84847.094000000,0.785379714,0.000007483,-44.681358261,-51.418140797,14.610953986,29.246828310,3.072774527,-2.637976377,0.626871250
84847.106000000,0.785379743,0.000007575,-44.846570098,-50.782332063,14.770658467,29.164143934,3.079722210,-2.603624291,0.622992283
84847.119000000,0.785379765,0.000007676,-45.048756041,-50.127369223,14.940578332,29.086518832,3.086897608,-2.568966576,0.619019848
84847.132000000,0.785379800,0.000007777,-45.213468390,-49.469502270,15.122042000,29.010455171,3.094337245,-2.534176081,0.614692248
84847.146000000,0.785379821,0.000007889,-45.436598736,-48.787825370,15.314250281,28.942078211,3.101979853,-2.499082591,0.610367990
84847.159000000,0.785379859,0.000008001,-45.610003694,-48.105905553,15.518743547,28.874542181,3.110000690,-2.463853767,0.605749056
84847.173000000,0.785379890,0.000008121,-45.818410995,-47.404207343,15.735295725,28.814172647,3.118303888,-2.428285070,0.602146043
84847.190000000,0.785379906,0.000008258,-46.100213306,-46.667283663,15.967291117,28.765842719,3.127014647,-2.392134620,0.597538314
84847.205000000,0.785379939,0.000008395,-46.333028117,-45.926805035,16.215193356,28.718619622,3.136382407,-2.355661542,0.592698177
84847.217000000,0.785380000,0.000008523,-46.460810788,-45.205572309,16.474351657,28.665588405,0.004786874,-0.822303170,-2.553856244
84847.231000000,0.785380047,0.000008644,-46.652825992,-44.433724986,16.719784282,28.625419676,0.038252679,-0.859312657,-2.527547633
84847.244000000,0.785380106,0.000008764,-46.804634729,-43.665930091,16.981359370,28.586803568,0.074546724,-0.895746923,-2.499164210
84847.258000000,0.785380160,0.000008896,-46.991862742,-42.880564090,17.260316904,28.559945772,0.113996585,-0.931737837,-2.468125261
84847.274000000,0.785380203,0.000009044,-47.246737806,-42.063514315,17.561814865,28.551146637,0.157259785,-0.967467401,-2.433815674
84847.292000000,0.785380243,0.000009205,-47.530466808,-41.223728365,17.888228926,28.556155454,0.205096407,-1.002785722,-2.395708496
84847.309000000,0.785380296,0.000009370,-47.780204552,-40.382198014,18.236668731,28.565072527,0.258227276,-1.037454887,-2.353348965
84847.324000000,0.785380359,0.000009540,-48.002739355,-39.540432140,18.605063742,28.578812801,0.317321058,-1.071185271,-2.305958081
84847.336000000,0.785380449,0.000009698,-48.113922825,-38.732277972,18.982413235,28.579566188,0.382741712,-1.103380798,-2.253296337
84847.350000000,0.785380528,0.000009873,-48.289394227,-37.904767549,19.376959996,28.602441097,0.455027854,-1.134092052,-2.194013021
84847.363000000,0.785380618,0.000010047,-48.424490423,-37.090174258,19.782619009,28.625290807,0.535082859,-1.163000670,-2.127735067
84847.375000000,0.785380715,0.000010222,-48.533579984,-36.286579559,20.197486684,28.650469272,0.623782749,-1.189759270,-2.053439023
84847.387000000,0.785380812,0.000010404,-48.648482214,-35.486788586,20.621523903,28.685036222,0.721495628,-1.214066487,-1.970522889
84847.402000000,0.785380895,0.000010608,-48.859893366,-34.654967108,21.066661873,28.753937516,0.829474925,-1.236018958,-1.877539380
84847.419000000,0.785380974,0.000010827,-49.108730496,-33.808011485,21.531842915,28.843678527,0.948894106,-1.255217534,-1.773782211
84847.430000000,0.785381082,0.000011030,-49.218401225,-33.011174014,21.995621977,28.903956036,1.078272722,-1.270887043,-1.661250318
84847.443000000,0.785381186,0.000011245,-49.365769624,-32.206279568,22.470629648,28.983733312,1.216446827,-1.283079090,-1.540260743
84847.455000000,0.785381297,0.000011459,-49.475985712,-31.419838263,22.948773802,29.060068238,1.361323546,-1.291444646,-1.413200989
84847.469000000,0.785381400,0.000011694,-49.659544456,-30.613440773,23.440925045,29.168763217,1.511049881,-1.296097699,-1.281478335
84847.482000000,0.785381511,0.000011928,-49.804971589,-29.825108281,23.935996266,29.273562871,1.662160148,-1.296878841,-1.149020826
84847.496000000,0.785381619,0.000012177,-49.991595731,-29.027963655,24.440575484,29.400972225,1.811956629,-1.293972577,-1.018231850
84847.512000000,0.785381719,0.000012449,-50.253239776,-28.209310491,24.959953350,29.564704993,1.958599621,-1.287567209,-0.890918873
84847.525000000,0.785381839,0.000012708,-50.404260876,-27.432295465,25.474039739,29.696708461,2.098552734,-1.277809021,-0.771271486
84847.537000000,0.785381964,0.000012967,-50.529559077,-26.671526546,25.986577644,29.826005099,2.230181546,-1.265128045,-0.660376420
84847.548000000,0.785382092,0.000013231,-50.652590246,-25.917861860,26.499882691,29.960760996,2.353476708,-1.249810059,-0.558155781
84847.564000000,0.785382208,0.000013525,-50.886526661,-25.135176132,27.023069382,30.147102384,2.468592456,-1.232184650,-0.464081156
84847.580000000,0.785382322,0.000013836,-51.164038917,-24.343703244,27.553134444,30.359548911,2.575921698,-1.212341470,-0.378258140
84847.592000000,0.785382457,0.000014124,-51.296156240,-23.604144667,28.074224429,30.517801441,2.674370992,-1.190509755,-0.302315657
84847.605000000,0.785382588,0.000014428,-51.480452524,-22.857314139,28.596732974,30.703937425,2.765313741,-1.167079190,-0.234033757
84847.617000000,0.785382724,0.000014731,-51.635094775,-22.127867574,29.115984069,30.882317600,2.849200323,-1.142221591,-0.173312065
